dateinfection,infection,daterecoveries,recoveries,datedeaths,deaths
06-May-20,1,10-June-20,2,06-May-20,2
20-May-20,1,23-June-20,1,11-May-20,1
27-May-20,2,29-June-20,1,07-June-20,1
31-May-20,1,07-July-20,1,11-August-20,1
07-June-20,1,13-July-20,1,29-August-20,1
15-June-20,5,15-July-20,1,12-September-20,1
29-June-20,1,16-July-20,1,19-September-20,1
02-July-20,1,18-July-20,1,21-September-20,1
07-July-20,1,20-July-20,1,23-September-20,1
08-July-20,1,22-July-20,3,09-October-20,1
09-July-20,3,28-July-20,4,19-October-20,1
11-July-20,1,04-August-20,1,29-October-20,1
12-July-20,2,13-August-20,1,09-November-20,1
21-July-20,1,14-August-20,1,21-November-20,2
31-July-20,2,15-August-20,2,03-December-20,1
01-August-20,1,19-August-20,1,23-December-20,1
04-August-20,1,21-August-20,1,30-December-20,1
07-August-20,1,24-August-20,1,06-January-21,1
10-August-20,2,30-August-20,2,08-January-21,1
11-August-20,1,31-August-20,2,11-February-21,1
17-August-20,1,02-September-20,4,22-April-21,1
18-August-20,4,03-September-20,4,27-April-21,1
19-August-20,3,06-September-20,1,08-May-21,1
20-August-20,1,07-September-20,1,13-May-21,1
21-August-20,1,08-September-20,1,17-May-21,1
22-August-20,1,09-September-20,3,18-May-21,1
23-August-20,2,15-September-20,1,22-May-21,2
24-August-20,1,16-September-20,2,23-May-21,1
25-August-20,1,17-September-20,2,24-May-21,1
27-August-20,2,18-September-20,2,25-May-21,1
28-August-20,1,19-September-20,1,26-May-21,3
03-September-20,3,21-September-20,2,27-May-21,1
04-September-20,1,22-September-20,1,30-May-21,1
05-September-20,2,23-September-20,1,31-May-21,2
07-September-20,2,24-September-20,4,01-June-21,1
09-September-20,4,26-September-20,1,02-June-21,1
10-September-20,1,27-September-20,2,05-June-21,1
12-September-20,1,28-September-20,4,07-June-21,1
13-September-20,4,29-September-20,1,10-June-21,3
14-September-20,1,01-October-20,3,11-June-21,1
15-September-20,2,02-October-20,1,13-June-21,1
16-September-20,4,03-October-20,5,14-June-21,2
17-September-20,1,04-October-20,5,16-June-21,1
18-September-20,2,05-October-20,4,18-June-21,2
19-September-20,4,06-October-20,8,19-June-21,1
21-September-20,6,07-October-20,1,23-June-21,1
22-September-20,2,08-October-20,3,25-June-21,2
23-September-20,2,10-October-20,4,29-June-21,2
24-September-20,2,13-October-20,3,30-June-21,1
25-September-20,5,15-October-20,1,03-July-21,2
26-September-20,1,18-October-20,6,04-July-21,1
27-September-20,4,19-October-20,5,10-July-21,1
28-September-20,7,21-October-20,2,11-July-21,1
29-September-20,1,24-October-20,3,14-July-21,1
30-September-20,1,26-October-20,4,17-July-21,1
01-October-20,2,27-October-20,1,19-July-21,2
02-October-20,2,29-October-20,4,20-July-21,1
04-October-20,2,31-October-20,2,22-July-21,1
05-October-20,1,01-November-20,2,23-July-21,2
06-October-20,2,02-November-20,1,24-July-21,3
07-October-20,2,03-November-20,16,25-July-21,1
08-October-20,5,04-November-20,4,26-July-21,1
09-October-20,1,05-November-20,2,27-July-21,2
10-October-20,3,06-November-20,1,29-July-21,2
11-October-20,2,07-November-20,3,30-July-21,1
12-October-20,1,08-November-20,5,31-July-21,4
13-October-20,3,09-November-20,6,01-August-21,3
14-October-20,2,10-November-20,6,02-August-21,1
