Date,FirstDose,SecondDose,ThirdDose
15/April/21,12,0,0
16/April/21,32,0,0
17/April/21,0,0,0
18/April/21,0,0,0
19/April/21,0,0,0
20/April/21,0,0,0
21/April/21,0,0,0
22/April/21,0,0,0
23/April/21,0,0,0
24/April/21,0,0,0
25/April/21,0,0,0
26/April/21,0,0,0
27/April/21,0,0,0
28/April/21,0,0,0
29/April/21,0,0,0
30/April/21,0,0,0
1/May/21,0,0,0
2/May/21,0,0,0
3/May/21,0,0,0
4/May/21,0,0,0
5/May/21,0,0,0
6/May/21,0,0,0
7/May/21,0,0,0
8/May/21,0,0,0
9/May/21,0,0,0
10/May/21,0,0,0
11/May/21,0,0,0
12/May/21,0,0,0
13/May/21,0,0,0
14/May/21,0,0,0
15/May/21,0,0,0
16/May/21,0,0,0
17/May/21,0,0,0
18/May/21,0,0,0
19/May/21,0,0,0
20/May/21,0,0,0
21/May/21,0,0,0
22/May/21,0,0,0
23/May/21,0,0,0
24/May/21,0,0,0
25/May/21,0,0,0
26/May/21,0,0,0
27/May/21,0,0,0
28/May/21,0,0,0
29/May/21,0,0,0
30/May/21,0,0,0
31/May/21,0,0,0
1/June/21,0,0,0
2/June/21,0,0,0
3/June/21,0,0,0
4/June/21,0,0,0
5/June/21,0,0,0
6/June/21,0,0,0
7/June/21,0,0,0
8/June/21,0,0,0
9/June/21,0,0,0
10/June/21,0,0,0
11/June/21,0,0,0
12/June/21,0,0,0
13/June/21,0,0,0
14/June/21,0,0,0
15/June/21,0,0,0
16/June/21,0,0,0
17/June/21,0,0,0
18/June/21,0,0,0
19/June/21,0,0,0
20/June/21,0,0,0
21/June/21,0,0,0
22/June/21,0,0,0
23/June/21,0,0,0
24/June/21,0,0,0
25/June/21,0,0,0
26/June/21,0,0,0
27/June/21,0,0,0
28/June/21,0,0,0
29/June/21,0,0,0
30/June/21,0,0,0
1/July/21,0,0,0
2/July/21,0,0,0
3/July/21,0,0,0
4/July/21,0,0,0
5/July/21,156,4,0
6/July/21,201,33,0
7/July/21,596,46,0
8/July/21,612,4,0
9/July/21,486,206,0
10/July/21,0,0,0
11/July/21,0,0,0
12/July/21,810,3,0
13/July/21,825,8,0
14/July/21,1092,5,0
15/July/21,1132,2,0
16/July/21,878,0,0
17/July/21,0,0,0
18/July/21,0,0,0
19/July/21,588,2,0
20/July/21,666,610,0
21/July/21,0,0,0
22/July/21,0,0,0
23/July/21,0,0,0
24/July/21,0,0,0
25/July/21,0,0,0
26/July/21,0,0,0
27/July/21,0,0,0
28/July/21,0,0,0
29/July/21,0,0,0
30/July/21,0,0,0
